iter	Accuracy	Logloss
384	0.8516561965	0.3341233215
385	0.8522272987	0.3338156715
386	0.8520845231	0.3336481233
387	0.8520845231	0.3334395133
388	0.8520845231	0.3332130976
389	0.8527984009	0.3330673684
390	0.8529411765	0.3328991681
391	0.853083952	0.332666705
392	0.8532267276	0.3325207897
393	0.8533695031	0.3323247052
394	0.8535122787	0.3321044072
395	0.8536550543	0.3319158477
396	0.8536550543	0.3317948327
397	0.8536550543	0.3315687361
398	0.8540833809	0.3312995443
399	0.8540833809	0.3312125632
400	0.8537978298	0.3310402747
401	0.8536550543	0.330823212
402	0.8540833809	0.3303020703
403	0.8539406054	0.3301968029
404	0.8542261565	0.3299148023
405	0.854368932	0.3296319033
406	0.8540833809	0.3294500699
407	0.8540833809	0.3292942303
408	0.8546544832	0.3290716056
409	0.8549400343	0.3289278386
410	0.8546544832	0.3287190094
411	0.8546544832	0.3285703545
412	0.8546544832	0.328404291
413	0.8547972587	0.3280439299
414	0.8552255854	0.3279274124
415	0.8552255854	0.3277694082
416	0.8555111365	0.3275643698
417	0.8555111365	0.3273697865
418	0.8556539121	0.3271791136
419	0.8556539121	0.3269275706
420	0.8556539121	0.3266691229
421	0.8559394632	0.3263730975
422	0.8560822387	0.326156418
423	0.8560822387	0.3258081271
424	0.8566533409	0.3255327944
425	0.8565105654	0.3254047391
426	0.8567961165	0.3250964135
427	0.8565105654	0.3249338442
428	0.8562250143	0.3245757249
429	0.8563677898	0.3244234098
430	0.8566533409	0.3242532264
431	0.8570816676	0.3240814099
432	0.8575099943	0.3236272449
433	0.8575099943	0.3235343465
434	0.8573672187	0.3232584654
435	0.8573672187	0.3230567376
436	0.8573672187	0.3227743912
437	0.857938321	0.3225676877
438	0.8580810965	0.3222545656
439	0.8582238721	0.321976969
440	0.8583666476	0.3218649214
441	0.8583666476	0.3216953941
442	0.8586521987	0.3216236721
443	0.8589377499	0.321370282
444	0.8587949743	0.3212840662
445	0.8590805254	0.3210321112
446	0.8590805254	0.3208598676
447	0.8587949743	0.3207249359
448	0.859223301	0.3204718225
449	0.859223301	0.3203259789
450	0.8595088521	0.3202128028
451	0.8596516276	0.3200159079
452	0.8595088521	0.3198159337
453	0.8597944032	0.3195995584
454	0.8603655054	0.319326051
455	0.8603655054	0.3192072916
456	0.8606510565	0.3190579733
457	0.860508281	0.318870584
458	0.8603655054	0.3187034999
459	0.860508281	0.3185501256
460	0.8610793832	0.3181471653
461	0.8610793832	0.3179235585
462	0.8612221588	0.3177118163
463	0.8616504854	0.3175221421
464	0.8619360366	0.3173427109
465	0.8620788121	0.317133713
466	0.8619360366	0.3168802427
467	0.8622215877	0.3165869201
468	0.8622215877	0.3164933855
469	0.8626499143	0.3163585017
470	0.8623643632	0.3161858075
471	0.8627926899	0.3159024771
472	0.8626499143	0.3157165837
473	0.8627926899	0.3153773335
474	0.863078241	0.3151698211
475	0.8632210166	0.3149730057
476	0.8633637921	0.31479938
477	0.8636493432	0.3145784631
478	0.8636493432	0.3143905943
479	0.8642204455	0.3141371427
480	0.864363221	0.3138042969
481	0.864363221	0.3135286169
482	0.8646487721	0.313374742
483	0.8645059966	0.3133038173
484	0.8642204455	0.3131745488
485	0.8645059966	0.3129244668
486	0.8646487721	0.3127866933
487	0.865648201	0.3124541158
488	0.8659337521	0.3123153334
489	0.865648201	0.3120663
490	0.8657909766	0.311941172
491	0.8652198744	0.3117266346
492	0.865648201	0.3115981474
493	0.8662193033	0.3114356973
494	0.8662193033	0.3113633374
495	0.8665048544	0.3111415633
496	0.8665048544	0.3109457592
497	0.8666476299	0.3107385458
498	0.8672187322	0.3104877888
499	0.8675042833	0.3102924247
500	0.8675042833	0.3100976316
501	0.8673615077	0.3098555315
502	0.8672187322	0.3095833348
503	0.8672187322	0.3094284376
504	0.8672187322	0.309255756
505	0.8676470588	0.3091115454
506	0.8679326099	0.3088767686
507	0.8682181611	0.3087313669
508	0.8682181611	0.3085635837
509	0.8680753855	0.3083261526
510	0.8682181611	0.3081553082
511	0.8685037122	0.3079187196
512	0.8686464877	0.3076459408
513	0.8687892633	0.307410149
514	0.8687892633	0.3072623657
515	0.8687892633	0.3070888555
516	0.8689320388	0.3069197553
517	0.8689320388	0.3066958821
518	0.8686464877	0.3064882559
519	0.8686464877	0.306307792
520	0.8687892633	0.3060829887
521	0.8692175899	0.3058350384
522	0.8693603655	0.3056220778
523	0.8692175899	0.3054361873
